Time(s), State, X, Y, Z, VelMag, DistToSphereCenter
0.00, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.10, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.20, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.30, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.40, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.50, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.60, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.70, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.80, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.90, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.00, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.10, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.20, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.30, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.40, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.50, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.60, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.70, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.80, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.90, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.00, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.10, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.20, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.30, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.40, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.50, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.60, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.70, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.80, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.90, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.00, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.10, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.20, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.30, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.40, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.50, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.60, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.70, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.80, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.90, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.00, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.10, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.20, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.30, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.40, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.50, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.60, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.70, 1, 22.00, 0.00, 0.00, 0.00, 54.63
4.80, 1, 21.97, 0.00, 0.04, 1.10, 54.57
4.90, 1, 21.89, 0.00, 0.18, 2.07, 54.41
5.00, 1, 21.81, 0.00, 0.37, 1.93, 54.21
5.10, 1, 21.73, 0.00, 0.55, 2.07, 54.01
5.20, 1, 21.65, 0.00, 0.73, 1.93, 53.81
5.30, 1, 21.57, 0.00, 0.92, 2.07, 53.61
5.40, 1, 21.49, 0.00, 1.10, 1.93, 53.41
5.50, 1, 21.41, 0.00, 1.28, 2.07, 53.21
5.60, 1, 21.33, 0.00, 1.46, 1.93, 53.01
5.70, 1, 21.25, 0.00, 1.65, 2.07, 52.81
5.80, 1, 21.17, 0.00, 1.83, 1.93, 52.61
5.90, 1, 21.09, 0.00, 2.01, 2.07, 52.41
6.00, 1, 21.01, 0.00, 2.20, 1.93, 52.21
6.10, 1, 20.93, 0.00, 2.38, 2.07, 52.01
6.20, 1, 20.85, 0.00, 2.56, 1.93, 51.81
6.30, 1, 20.77, 0.00, 2.75, 2.07, 51.61
6.40, 1, 20.68, 0.00, 2.93, 1.93, 51.41
6.50, 1, 20.60, 0.00, 3.11, 2.07, 51.21
6.60, 1, 20.52, 0.00, 3.30, 1.93, 51.01
6.70, 1, 20.44, 0.00, 3.48, 2.07, 50.81
6.80, 1, 20.36, 0.00, 3.66, 1.93, 50.61
6.90, 1, 20.28, 0.00, 3.85, 2.07, 50.41
7.00, 1, 20.20, 0.00, 4.03, 1.93, 50.21
7.10, 1, 20.12, 0.00, 4.21, 2.07, 50.01
7.20, 1, 20.04, 0.00, 4.39, 1.93, 49.81
7.30, 1, 19.96, 0.00, 4.58, 2.07, 49.61
7.40, 1, 19.88, 0.00, 4.76, 1.93, 49.41
7.50, 1, 19.80, 0.00, 4.94, 2.07, 49.21
7.60, 1, 19.72, 0.00, 5.13, 1.93, 49.01
7.70, 1, 19.64, 0.00, 5.31, 2.07, 48.81
7.80, 1, 19.56, 0.00, 5.49, 1.93, 48.61
7.90, 1, 19.48, 0.00, 5.68, 2.07, 48.41
8.00, 1, 19.40, 0.00, 5.86, 1.93, 48.21
8.10, 1, 19.32, 0.00, 6.04, 2.07, 48.01
8.20, 1, 19.24, 0.00, 6.23, 1.93, 47.81
8.30, 1, 19.16, 0.00, 6.41, 2.07, 47.61
8.40, 1, 19.08, 0.00, 6.59, 1.93, 47.41
8.50, 1, 18.99, 0.00, 6.77, 2.07, 47.21
8.60, 1, 18.91, 0.00, 6.96, 1.93, 47.01
8.70, 1, 18.83, 0.00, 7.14, 2.07, 46.81
8.80, 1, 18.75, 0.00, 7.32, 1.93, 46.61
8.90, 1, 18.67, 0.00, 7.51, 2.07, 46.41
9.00, 1, 18.59, 0.00, 7.69, 1.93, 46.21
9.10, 1, 18.51, 0.00, 7.87, 2.07, 46.01
9.20, 1, 18.43, 0.00, 8.06, 1.93, 45.81
9.30, 1, 18.35, 0.00, 8.24, 2.07, 45.61
9.40, 1, 18.27, 0.00, 8.42, 1.93, 45.41
9.50, 1, 18.19, 0.00, 8.61, 2.07, 45.21
9.60, 1, 18.11, 0.00, 8.79, 1.93, 45.01
9.70, 1, 18.03, 0.00, 8.97, 2.07, 44.81
9.80, 1, 17.95, 0.00, 9.15, 1.93, 44.61
9.90, 1, 17.87, 0.00, 9.34, 2.07, 44.41
10.00, 1, 17.79, 0.00, 9.52, 1.93, 44.21
10.10, 1, 17.71, 0.00, 9.70, 2.07, 44.01
10.20, 1, 17.63, 0.00, 9.89, 1.93, 43.81
10.30, 1, 17.55, 0.00, 10.07, 2.07, 43.61
10.40, 1, 17.47, 0.00, 10.25, 1.93, 43.41
10.50, 1, 17.39, 0.00, 10.44, 2.07, 43.21
10.60, 1, 17.31, 0.00, 10.62, 1.93, 43.01
10.70, 1, 17.22, 0.00, 10.80, 2.07, 42.81
10.80, 1, 17.14, 0.00, 10.99, 1.93, 42.61
10.90, 1, 17.06, 0.00, 11.17, 2.07, 42.41
11.00, 1, 16.98, 0.00, 11.35, 1.93, 42.21
11.10, 1, 16.90, 0.00, 11.54, 2.07, 42.01
11.20, 1, 16.82, 0.00, 11.72, 1.93, 41.81
11.30, 1, 16.74, 0.00, 11.90, 2.07, 41.61
11.40, 1, 16.66, 0.00, 12.08, 1.93, 41.41
11.50, 1, 16.58, 0.00, 12.27, 2.07, 41.21
11.60, 1, 16.50, 0.00, 12.45, 1.93, 41.01
11.70, 1, 16.42, 0.00, 12.63, 2.07, 40.81
11.80, 1, 16.34, 0.00, 12.82, 1.93, 40.61
11.90, 1, 16.26, 0.00, 13.00, 2.07, 40.41
12.00, 1, 16.18, 0.00, 13.18, 1.93, 40.21
12.10, 1, 16.10, 0.00, 13.37, 2.07, 40.01
12.20, 1, 16.02, 0.00, 13.55, 1.93, 39.81
12.30, 1, 15.94, 0.00, 13.73, 2.07, 39.61
12.40, 1, 15.86, 0.00, 13.92, 1.93, 39.41
12.50, 1, 15.78, 0.00, 14.10, 2.07, 39.21
12.60, 1, 15.70, 0.00, 14.28, 1.93, 39.01
12.70, 1, 15.62, 0.00, 14.46, 2.07, 38.81
12.80, 1, 15.54, 0.00, 14.65, 1.93, 38.61
12.90, 1, 15.45, 0.00, 14.83, 2.07, 38.41
13.00, 1, 15.37, 0.00, 15.01, 1.93, 38.21
13.10, 1, 15.29, 0.00, 15.20, 2.07, 38.01
13.20, 1, 15.21, 0.00, 15.38, 1.93, 37.81
13.30, 1, 15.13, 0.00, 15.56, 2.07, 37.61
13.40, 1, 15.05, 0.00, 15.75, 1.93, 37.41
13.50, 1, 14.97, 0.00, 15.93, 2.07, 37.21
13.60, 1, 14.89, 0.00, 16.11, 1.93, 37.01
13.70, 1, 14.81, 0.00, 16.30, 2.07, 36.81
13.80, 1, 14.73, 0.00, 16.48, 1.93, 36.61
13.90, 1, 14.65, 0.00, 16.66, 2.07, 36.41
14.00, 1, 14.57, 0.00, 16.85, 1.93, 36.21
14.10, 1, 14.49, 0.00, 17.03, 2.07, 36.01
14.20, 1, 14.41, 0.00, 17.21, 1.93, 35.81
14.30, 1, 14.33, 0.00, 17.39, 2.07, 35.61
14.40, 1, 14.25, 0.00, 17.58, 1.93, 35.41
14.50, 1, 14.17, 0.00, 17.76, 2.07, 35.21
14.60, 1, 14.09, 0.00, 17.94, 1.93, 35.01
14.70, 1, 14.01, 0.00, 18.13, 2.07, 34.81
14.80, 1, 13.93, 0.00, 18.31, 1.93, 34.61
14.90, 1, 13.85, 0.00, 18.49, 2.07, 34.41
15.00, 1, 13.76, 0.00, 18.68, 1.93, 34.21
15.10, 1, 13.68, 0.00, 18.86, 2.07, 34.01
15.20, 1, 13.60, 0.00, 19.04, 1.93, 33.81
15.30, 1, 13.52, 0.00, 19.23, 2.07, 33.61
15.40, 1, 13.44, 0.00, 19.41, 1.93, 33.41
15.50, 1, 13.36, 0.00, 19.59, 2.07, 33.21
15.60, 1, 13.28, 0.00, 19.77, 1.93, 33.01
15.70, 1, 13.20, 0.00, 19.96, 2.07, 32.81
15.80, 1, 13.12, 0.00, 20.14, 1.93, 32.61
15.90, 1, 13.04, 0.00, 20.32, 2.07, 32.41
16.00, 1, 12.96, 0.00, 20.51, 1.93, 32.21
16.10, 1, 12.88, 0.00, 20.69, 2.07, 32.01
16.20, 1, 12.80, 0.00, 20.87, 1.93, 31.81
16.30, 1, 12.72, 0.00, 21.06, 2.07, 31.61
16.40, 1, 12.64, 0.00, 21.24, 1.93, 31.41
16.50, 1, 12.56, 0.00, 21.42, 2.07, 31.21
16.60, 1, 12.48, 0.00, 21.61, 1.93, 31.01
16.70, 1, 12.40, 0.00, 21.79, 2.07, 30.81
16.80, 1, 12.32, 0.00, 21.97, 1.93, 30.61
16.90, 1, 12.24, 0.00, 22.16, 2.07, 30.41
17.00, 1, 12.16, 0.00, 22.34, 1.93, 30.21
17.10, 1, 12.08, 0.00, 22.52, 2.07, 30.01
17.20, 1, 11.99, 0.00, 22.70, 1.93, 29.81
17.30, 1, 11.91, 0.00, 22.89, 2.07, 29.61
17.40, 1, 11.83, 0.00, 23.07, 1.93, 29.41
17.50, 1, 11.75, 0.00, 23.25, 2.07, 29.21
17.60, 1, 11.67, 0.00, 23.44, 1.93, 29.01
17.70, 1, 11.59, 0.00, 23.62, 2.07, 28.81
17.80, 1, 11.51, 0.00, 23.80, 1.93, 28.61
17.90, 1, 11.43, 0.00, 23.99, 2.07, 28.41
18.00, 1, 11.35, 0.00, 24.17, 1.93, 28.21
18.10, 1, 11.27, 0.00, 24.35, 2.07, 28.01
18.20, 1, 11.19, 0.00, 24.54, 1.93, 27.81
18.30, 1, 11.11, 0.00, 24.72, 2.07, 27.61
18.40, 1, 11.03, 0.00, 24.90, 1.93, 27.41
18.50, 1, 10.95, 0.00, 25.08, 2.07, 27.21
18.60, 1, 10.87, 0.00, 25.27, 1.93, 27.01
18.70, 1, 10.79, 0.00, 25.45, 2.07, 26.81
18.80, 1, 10.71, 0.00, 25.63, 1.93, 26.61
18.90, 1, 10.63, 0.00, 25.82, 2.07, 26.41
19.00, 1, 10.55, 0.00, 26.00, 1.93, 26.21
19.10, 1, 10.47, 0.00, 26.18, 2.07, 26.01
19.20, 1, 10.39, 0.00, 26.37, 1.93, 25.81
19.30, 1, 10.31, 0.00, 26.55, 2.07, 25.61
19.40, 1, 10.22, 0.00, 26.73, 1.93, 25.41
19.50, 1, 10.14, 0.00, 26.92, 2.07, 25.21
19.60, 1, 10.06, 0.00, 27.10, 1.93, 25.01
19.70, 1, 9.98, 0.00, 27.28, 2.07, 24.81
19.80, 1, 9.90, 0.00, 27.47, 1.93, 24.61
19.90, 1, 9.82, 0.00, 27.65, 2.07, 24.41
20.00, 1, 9.74, 0.00, 27.83, 1.93, 24.21
20.10, 1, 9.66, 0.00, 28.01, 2.07, 24.01
20.20, 1, 9.58, 0.00, 28.20, 1.93, 23.81
20.30, 1, 9.50, 0.00, 28.38, 2.07, 23.61
20.40, 1, 9.42, 0.00, 28.56, 1.93, 23.41
20.50, 1, 9.34, 0.00, 28.75, 2.07, 23.21
20.60, 1, 9.26, 0.00, 28.93, 1.93, 23.01
20.70, 1, 9.18, 0.00, 29.11, 2.07, 22.81
20.80, 1, 9.10, 0.00, 29.30, 1.93, 22.61
20.90, 1, 9.02, 0.00, 29.48, 2.07, 22.41
21.00, 1, 8.94, 0.00, 29.66, 1.93, 22.21
21.10, 1, 8.86, 0.00, 29.85, 2.07, 22.01
21.20, 1, 8.78, 0.00, 30.03, 1.93, 21.81
21.30, 1, 8.70, 0.00, 30.21, 2.07, 21.61
21.40, 1, 8.62, 0.00, 30.39, 1.93, 21.41
21.50, 1, 8.53, 0.00, 30.58, 2.07, 21.21
21.60, 1, 8.45, 0.00, 30.76, 1.93, 21.01
21.70, 1, 8.37, 0.00, 30.94, 2.07, 20.81
21.80, 1, 8.29, 0.00, 31.13, 1.93, 20.61
21.90, 1, 8.21, 0.00, 31.31, 2.07, 20.41
22.00, 1, 8.13, 0.00, 31.49, 1.93, 20.21
22.10, 1, 8.05, 0.00, 31.68, 2.07, 20.01
22.20, 1, 7.97, 0.00, 31.86, 1.93, 19.81
22.30, 1, 7.89, 0.00, 32.04, 2.07, 19.61
22.40, 1, 7.81, 0.00, 32.23, 1.93, 19.41
22.50, 1, 7.73, 0.00, 32.41, 2.07, 19.21
22.60, 1, 7.65, 0.00, 32.59, 1.93, 19.01
22.70, 1, 7.57, 0.00, 32.77, 2.07, 18.81
22.80, 1, 7.49, 0.00, 32.96, 1.93, 18.61
22.90, 1, 7.41, 0.00, 33.14, 2.07, 18.41
23.00, 1, 7.33, 0.00, 33.32, 1.93, 18.21
23.10, 1, 7.25, 0.00, 33.51, 2.07, 18.01
23.20, 1, 7.17, 0.00, 33.69, 1.93, 17.81
23.30, 1, 7.09, 0.00, 33.87, 2.07, 17.61
23.40, 1, 7.01, 0.00, 34.06, 1.93, 17.41
23.50, 1, 6.93, 0.00, 34.24, 2.07, 17.21
23.60, 1, 6.85, 0.00, 34.42, 1.93, 17.01
23.70, 1, 6.76, 0.00, 34.61, 2.07, 16.81
23.80, 1, 6.68, 0.00, 34.79, 1.93, 16.61
23.90, 1, 6.60, 0.00, 34.97, 2.07, 16.41
24.00, 1, 6.52, 0.00, 35.16, 1.93, 16.21
24.10, 1, 6.44, 0.00, 35.34, 2.07, 16.01
24.20, 1, 6.36, 0.00, 35.52, 1.93, 15.81
24.30, 1, 6.28, 0.00, 35.70, 2.07, 15.61
24.40, 1, 6.20, 0.00, 35.89, 1.93, 15.41
24.50, 1, 6.12, 0.00, 36.07, 2.07, 15.21
24.60, 1, 6.04, 0.00, 36.25, 1.93, 15.01
24.70, 1, 5.96, 0.00, 36.44, 2.07, 14.81
24.80, 1, 5.88, 0.00, 36.62, 1.93, 14.61
24.90, 1, 5.80, 0.00, 36.80, 2.07, 14.41
25.00, 1, 5.72, 0.00, 36.99, 1.93, 14.21
25.10, 1, 5.64, 0.00, 37.17, 2.07, 14.01
25.20, 1, 5.56, 0.00, 37.35, 1.93, 13.81
25.30, 1, 5.48, 0.00, 37.54, 2.07, 13.61
25.40, 1, 5.40, 0.00, 37.72, 1.93, 13.41
25.50, 1, 5.32, 0.00, 37.90, 2.07, 13.21
25.60, 1, 5.24, 0.00, 38.08, 1.93, 13.01
25.70, 1, 5.16, 0.00, 38.27, 2.07, 12.81
25.80, 1, 5.08, 0.00, 38.45, 1.93, 12.61
25.90, 1, 4.99, 0.00, 38.63, 2.07, 12.41
26.00, 1, 4.91, 0.00, 38.82, 1.93, 12.21
26.10, 1, 4.83, 0.00, 39.00, 2.07, 12.01
26.20, 1, 4.75, 0.00, 39.18, 1.93, 11.81
26.30, 1, 4.67, 0.00, 39.37, 2.07, 11.61
26.40, 1, 4.59, 0.00, 39.55, 1.93, 11.41
26.50, 1, 4.51, 0.00, 39.73, 2.07, 11.21
26.60, 1, 4.43, 0.00, 39.92, 1.93, 11.01
26.70, 1, 4.35, 0.00, 40.10, 2.07, 10.81
26.80, 1, 4.27, 0.00, 40.28, 1.93, 10.61
26.90, 1, 4.19, 0.00, 40.47, 2.07, 10.41
27.00, 1, 4.11, 0.00, 40.65, 1.93, 10.21
27.10, 1, 4.03, 0.00, 40.83, 2.07, 10.01
27.20, 1, 3.95, 0.00, 41.01, 1.93, 9.81
27.30, 2, 3.94, 0.00, 41.02, 0.15, 9.81
27.40, 2, 3.98, -0.00, 40.89, 2.80, 9.94
27.50, 2, 4.02, 0.01, 40.66, 1.85, 10.16
27.60, 2, 3.98, 0.03, 40.52, 1.22, 10.28
27.70, 2, 3.87, 0.05, 40.46, 1.61, 10.29
27.80, 2, 3.68, 0.07, 40.49, 2.41, 10.20
27.90, 2, 3.46, 0.10, 40.46, 2.36, 10.15
28.00, 2, 3.28, 0.14, 40.29, 2.85, 10.25
28.10, 2, 3.07, 0.20, 40.12, 2.75, 10.35
28.20, 2, 2.80, 0.26, 40.04, 2.99, 10.35
28.30, 2, 2.49, 0.31, 40.06, 3.49, 10.25
28.40, 2, 2.15, 0.34, 40.07, 3.36, 10.17
28.50, 2, 1.81, 0.33, 39.97, 3.79, 10.20
28.60, 2, 1.46, 0.30, 39.86, 3.68, 10.25
28.70, 2, 1.08, 0.26, 39.85, 4.01, 10.21
28.80, 2, 0.66, 0.22, 39.93, 4.63, 10.10
28.90, 2, 0.23, 0.19, 39.91, 4.46, 10.09
29.00, 2, -0.18, 0.20, 39.77, 4.29, 10.23
29.10, 2, -0.59, 0.22, 39.70, 4.07, 10.32
29.20, 2, -0.99, 0.24, 39.73, 3.96, 10.32
29.30, 2, -1.36, 0.26, 39.86, 3.99, 10.23
29.40, 2, -1.71, 0.29, 40.03, 3.77, 10.12
29.50, 2, -2.06, 0.34, 40.05, 3.83, 10.17
29.60, 2, -2.40, 0.40, 39.98, 3.34, 10.31
29.70, 2, -2.71, 0.46, 40.00, 2.99, 10.37
29.80, 2, -2.96, 0.51, 40.12, 2.79, 10.33
29.90, 2, -3.15, 0.55, 40.33, 2.95, 10.19
30.00, 2, -3.34, 0.59, 40.45, 2.42, 10.14
30.10, 2, -3.58, 0.64, 40.47, 2.46, 10.20
30.20, 2, -3.77, 0.68, 40.55, 2.02, 10.19
30.30, 2, -3.90, 0.72, 40.73, 2.44, 10.08
30.40, 2, -4.02, 0.76, 40.81, 1.74, 10.06
30.50, 2, -4.13, 0.80, 40.73, 1.04, 10.18
30.60, 2, -4.15, 0.84, 40.70, 0.43, 10.22
30.70, 2, -4.10, 0.88, 40.76, 1.40, 10.15
30.80, 2, -4.00, 0.93, 40.83, 1.34, 10.04
30.90, 2, -3.96, 1.01, 40.76, 2.23, 10.10
31.00, 2, -3.93, 1.08, 40.59, 1.56, 10.25
31.10, 2, -3.82, 1.13, 40.51, 1.63, 10.29
31.20, 2, -3.63, 1.16, 40.51, 2.29, 10.23
31.30, 2, -3.37, 1.14, 40.58, 3.26, 10.07
31.40, 2, -3.10, 1.11, 40.56, 2.84, 10.00
31.50, 2, -2.89, 1.10, 40.31, 3.86, 10.17
31.60, 2, -2.65, 1.09, 40.03, 3.53, 10.37
31.70, 2, -2.36, 1.05, 39.84, 3.49, 10.48
31.80, 2, -2.03, 0.99, 39.74, 3.67, 10.50
31.90, 2, -1.65, 0.92, 39.74, 4.13, 10.43
32.00, 2, -1.24, 0.83, 39.84, 4.57, 10.27
32.10, 2, -0.82, 0.73, 39.90, 4.14, 10.16
32.20, 2, -0.42, 0.61, 39.83, 4.47, 10.20
32.30, 2, -0.01, 0.47, 39.74, 4.47, 10.27
32.40, 2, 0.42, 0.33, 39.75, 4.55, 10.26
32.50, 2, 0.84, 0.17, 39.86, 4.82, 10.18
32.60, 2, 1.24, -0.01, 40.04, 4.76, 10.04
32.70, 2, 1.65, -0.19, 40.10, 4.67, 10.04
32.80, 2, 2.07, -0.37, 40.06, 4.55, 10.16
32.90, 2, 2.46, -0.56, 40.11, 4.28, 10.20
33.00, 2, 2.81, -0.72, 40.26, 4.07, 10.16
33.10, 2, 3.10, -0.85, 40.50, 4.04, 10.03
33.20, 2, 3.41, -0.97, 40.64, 3.59, 10.01
33.30, 2, 3.73, -1.10, 40.67, 3.46, 10.11
33.40, 2, 4.00, -1.22, 40.78, 2.91, 10.13
33.50, 2, 4.18, -1.31, 40.96, 2.69, 10.05
33.60, 2, 4.31, -1.39, 41.11, 1.68, 9.97
33.70, 2, 4.47, -1.49, 41.09, 2.72, 10.08
33.80, 2, 4.63, -1.59, 41.00, 1.47, 10.24
33.90, 2, 4.69, -1.66, 40.98, 0.50, 10.30
34.00, 2, 4.66, -1.68, 41.04, 1.19, 10.24
34.10, 2, 4.54, -1.69, 41.17, 2.41, 10.07
34.20, 2, 4.39, -1.69, 41.19, 1.74, 9.99
34.30, 2, 4.28, -1.71, 40.95, 3.58, 10.15
